Time (Sec);S6;S2;S4;S3;S7;S5;S1;
7.559257333333333;19159.954025599993;19159.974395199995;19159.940510399985;19159.957441599996;19159.957702399992;19159.953083199995;19159.986963199997;
8.049584;19159.954025599993;19159.974395199995;19159.940510399985;19159.957441599996;19159.957702399992;19159.953083199995;19159.986963199997;
8.049584;19159.954025599993;19159.974395199995;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
8.057078666666666;19159.954025599993;19159.971420799997;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
8.549584;19159.954025599993;19159.971420799997;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
8.558167999999998;19159.954025599993;19159.971420799997;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
8.559257333333331;19159.954025599993;19159.971420799997;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
9.549583999999998;19159.954025599993;19159.971420799997;19159.940510399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
9.549583999999998;19159.954025599993;19159.971420799997;19159.933406399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
9.558167999999998;19159.954025599993;19159.971420799997;19159.933406399985;19159.951284799998;19159.957702399992;19159.953083199995;19159.986963199997;
9.559257333333331;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
10.549583999999998;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
10.559257333333331;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
11.549583999999998;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
12.549583999999998;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
13.549583999999998;19159.95059359999;19159.971420799997;19159.933406399985;19159.947852799996;19159.95427039999;19159.949651199993;19159.986963199997;
